Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
120013 BUJARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120017 CAPIXABA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120020 CRUZEIRO DO SUL;188;315;243;206;167;156;120;102;84;92;101;96;123;132;81;65;34;19;8;-
120025 EPITACIOLANDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120030 FEIJO;1;13;7;11;8;3;1;1;2;5;4;2;5;8;1;2;2;1;-;-
120032 JORDAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
120033 MANCIO LIMA;-;3;1;-;-;2;2;3;3;4;5;6;1;6;7;9;5;2;7;-
120034 MANOEL URBANO;11;8;40;8;-;-;4;7;1;4;1;-;7;2;1;2;6;1;-;-
120035 MARECHAL THAUMATURGO;3;-;4;2;-;1;4;7;1;5;3;-;2;3;-;1;8;4;-;-
120038 PLACIDO DE CASTRO;7;14;11;3;8;9;-;4;2;3;1;6;2;4;4;4;3;2;5;-
120039 PORTO WALTER;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;2;1;-
120040 RIO BRANCO;282;265;284;172;153;156;130;91;89;89;97;92;154;97;91;69;63;32;18;-
120042 RODRIGUES ALVES;4;4;3;9;3;1;3;-;2;7;8;7;-;3;6;3;1;1;-;-
120043 SANTA ROSA DO PURUS;4;-;29;22;1;1;4;2;1;4;2;1;2;4;-;-;-;-;-;-
120045 SENADOR GUIOMARD;9;17;23;26;9;2;5;4;12;7;12;3;6;4;8;8;4;1;1;-
120050 SENA MADUREIRA;40;67;106;60;42;43;36;43;42;34;37;33;40;36;28;28;19;22;2;-
120060 TARAUACA;19;26;53;50;30;12;3;11;6;4;8;5;12;4;5;5;12;7;9;-
120070 XAPURI;30;37;34;30;14;11;20;22;9;5;8;-;2;15;9;4;3;1;-;-
120080 PORTO ACRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
130002 ALVARAES;18;14;33;13;6;4;5;2;-;-;-;-;-;-;-;-;-;-;-;-
130006 AMATURA;1;33;21;16;1;2;5;3;2;-;6;1;2;2;1;-;5;5;2;-
130008 ANAMA;-;-;-;5;11;14;10;19;12;23;13;10;3;3;3;10;11;-;-;-
130010 ANORI;35;16;21;11;8;7;8;11;11;4;1;6;4;10;2;7;2;9;16;-
130014 APUI;11;5;29;21;19;12;11;11;3;6;9;21;21;12;7;8;6;4;3;-
130020 ATALAIA DO NORTE;12;11;1;4;2;5;1;1;1;-;1;-;1;2;2;-;1;7;2;2
130030 AUTAZES;10;17;10;9;11;4;2;5;4;4;10;23;35;2;4;1;1;3;-;-
130040 BARCELOS;2;6;10;13;13;5;4;2;2;5;3;1;25;7;9;3;6;2;-;-
130050 BARREIRINHA;36;40;25;9;7;3;4;5;3;4;5;7;7;7;1;-;4;2;12;-
130060 BENJAMIN CONSTANT;23;37;37;14;5;2;2;1;1;3;5;4;3;-;-;3;3;2;-;-
130063 BERURI;37;14;7;14;23;17;22;1;3;2;4;1;5;6;5;4;-;-;-;-
130068 BOA VISTA DO RAMOS;51;26;24;13;17;19;13;7;10;10;16;13;2;3;4;2;9;10;3;4
130070 BOCA DO ACRE;22;24;26;24;25;26;20;12;11;9;7;13;22;25;17;13;9;9;24;13
130080 BORBA;39;34;27;31;58;32;19;13;17;31;18;5;10;4;8;15;38;29;38;-
130083 CAAPIRANGA;-;5;2;3;4;4;-;4;-;2;4;5;4;2;7;9;3;8;5;7
130090 CANUTAMA;7;6;4;12;3;7;3;8;20;11;6;1;4;1;5;5;5;-;-;-
130100 CARAUARI;14;25;44;25;5;4;6;2;5;2;1;2;3;9;3;5;3;1;-;-
130110 CAREIRO;79;51;14;3;1;9;15;5;6;8;10;14;14;11;9;8;3;5;8;10
130115 CAREIRO DA VARZEA;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1
130120 COARI;83;54;60;35;25;28;44;31;22;25;23;34;43;8;22;12;18;8;24;-
130130 CODAJAS;30;34;19;24;23;15;15;12;5;5;-;5;19;9;7;4;9;9;-;-
130140 EIRUNEPE;16;40;35;12;19;10;4;9;16;13;9;7;9;8;10;9;-;-;-;-
130150 ENVIRA;28;14;34;39;5;12;3;15;3;6;2;1;6;13;5;3;-;-;5;4
130160 FONTE BOA;21;18;26;31;18;12;7;4;13;20;7;7;6;5;5;-;8;7;7;4
130165 GUAJARA;15;22;32;32;10;16;5;16;8;2;9;5;4;9;7;12;12;9;9;-
130170 HUMAITA;55;42;31;25;25;34;25;18;18;11;18;13;22;11;6;11;5;18;10;-
130180 IPIXUNA;-;19;44;-;-;-;14;48;45;47;55;41;43;52;36;18;9;14;11;-
130185 IRANDUBA;33;49;38;39;24;35;27;7;12;6;11;5;12;16;21;10;20;2;7;-
130190 ITACOATIARA;306;194;117;71;53;58;46;27;13;22;22;21;72;33;6;7;8;15;2;-
130195 ITAMARATI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;4;-
130200 ITAPIRANGA;46;18;14;4;1;5;1;8;5;7;4;1;15;4;3;9;4;1;7;4
130210 JAPURA;7;9;5;-;-;-;25;2;1;-;2;3;5;2;3;1;2;1;-;2
130220 JURUA;-;-;-;-;-;-;2;9;3;3;5;4;8;7;2;-;2;-;-;-
130230 JUTAI;1;13;15;7;13;13;-;12;10;19;5;-;15;15;15;26;32;16;34;-
130240 LABREA;18;32;36;29;23;9;10;12;14;6;3;8;16;14;11;7;10;11;17;5
130250 MANACAPURU;201;136;99;69;182;130;65;28;18;15;22;25;52;41;21;20;31;27;43;18
130255 MANAQUIRI;65;39;21;8;18;25;42;9;15;9;11;6;12;7;5;14;23;22;9;8
130260 MANAUS;4089;2817;2099;1467;1619;1747;1622;1219;937;843;838;808;1154;846;736;788;841;656;505;208
130270 MANICORE;40;47;107;89;23;20;6;14;14;18;19;17;10;5;13;10;12;19;10;2
130280 MARAA;-;-;-;-;5;9;7;6;17;11;11;7;5;4;-;-;-;2;-;-
130290 MAUES;79;73;61;78;46;18;19;18;12;19;21;24;38;20;19;16;29;28;-;-
130300 NHAMUNDA;42;30;17;1;7;8;3;6;1;5;7;-;9;4;-;-;1;2;-;-
130310 NOVA OLINDA DO NORTE;40;39;31;43;43;32;31;24;6;14;6;5;3;22;3;5;4;11;4;-
130320 NOVO AIRAO;26;13;6;7;7;12;7;3;8;10;13;4;14;7;10;3;1;2;6;4
130330 NOVO ARIPUANA;-;-;-;7;7;11;13;8;30;15;25;30;10;10;9;21;10;34;20;-
130340 PARINTINS;434;412;216;95;47;25;26;24;17;12;11;19;42;32;5;7;10;8;11;-
130350 PAUINI;29;13;-;-;-;3;5;-;-;-;1;3;10;21;2;1;-;-;4;7
130353 PRESIDENTE FIGUEIREDO;92;31;36;14;10;6;10;3;8;5;5;7;21;6;3;8;2;2;3;-
130356 RIO PRETO DA EVA;45;13;8;11;19;28;23;9;9;4;2;3;15;5;8;3;5;1;8;-
130360 SANTA ISABEL DO RIO NEGRO;-;-;-;-;-;1;-;2;2;6;9;11;5;1;5;-;3;-;-;-
130370 SANTO ANTONIO DO ICA;46;49;64;24;21;10;6;4;3;4;-;6;9;9;9;6;1;3;2;1
130380 SAO GABRIEL DA CACHOEIRA;4;2;6;7;4;5;5;11;11;7;7;4;7;16;5;12;5;4;9;-
130390 SAO PAULO DE OLIVENCA;15;50;44;25;12;8;7;5;4;4;8;6;28;8;9;4;3;1;2;7
130395 SAO SEBASTIAO DO UATUMA;29;22;6;3;1;5;11;4;7;6;3;4;7;-;1;6;2;3;8;3
130400 SILVES;71;22;31;13;7;5;4;9;3;12;4;12;11;4;4;6;4;5;12;7
